cluster_id,alarm_id,CLUSTER_LABEL,NOTE SPV
24256,"EFMTX,65eeb9d053da8b00018bd11c",0,CORRELAZIONE ERRATA SU CLUSTER 24256
24432,"EFM,65eebe1a22c47e0001586dcc",0,CORRELAZIONE OK SU CLUSTER 24432
24432,"EFMTX,65eebd696423e50001f28fd9",0,CORRELAZIONE OK SU CLUSTER 24432
24432,"EFM,65eebf5e7dcf4f000138f987",0,CORRELAZIONE ERRATA SU CLUSTER 24432
24432,"EFM,65eebf5e7dcf4f000138f988",0,CORRELAZIONE ERRATA SU CLUSTER 24432
24667,"EFMTX,65eec16bcd606500014b33bc",0,CORRELAZIONE ERRATA SU CLUSTER 24667
24667,"EFMTX,65eec14dcd606500014b33a8",0,CORRELAZIONE ERRATA SU CLUSTER 24667
24667,"EFMTX,65eec1e85e16e30001ac4424",-1,CORRELAZIONE ERRATA SU CLUSTER 24667
24810,"EFM,65eec56755c5eb0001302fa2",0,CORRELAZIONE OK CLUSTER 24810 - bts stesso sito
24810,"EFM,65eec5687dcf4f000138fa15",0,CORRELAZIONE OK CLUSTER 24810 - bts stesso sito
24810,"EFM,65eec56722c47e0001586e38",0,CORRELAZIONE OK CLUSTER 24810 - bts stesso sito
24810,"EFM,65eec5677dcf4f000138fa12",0,CORRELAZIONE OK CLUSTER 24810 - bts stesso sito
24821,"EFM,65eec72a7dcf4f000138fa35",0,CORRELAZIONE OK SU CLUSTER 24821
24821,"EFMTX,65eec67cf70d760001d5cad0",0,CORRELAZIONE OK SU CLUSTER 24821
24821,"EFMTX,65eec78ca379550001bb18af",0,CORRELAZIONE OK SU CLUSTER 24821
24821,"EFMTX,65eec7c5cd606500014b398b",0,CORRELAZIONE OK SU CLUSTER 24821
24821,"EFM,65eec72b7dcf4f000138fa36",0,CORRELAZIONE OK SU CLUSTER 24821
24821,"EFM,65eec68b55c5eb0001302fad",0,CORRELAZIONE OK SU CLUSTER 24821
25111,"EFM,65eecaf17dcf4f000138fab1",0,CORRELAZIONE ERRATA SU CLUSTER 25111
25111,"EFM,65eecaf27dcf4f000138fab2",0,CORRELAZIONE ERRATA SU CLUSTER 25111
25111,"EFM,65eecbf422c47e0001586eff",0,CORRELAZIONE ERRATA SU CLUSTER 25111
25112,"EFM,65eecb1422c47e0001586eed",0,CORRELAZIONE OK CLUSTER 25112 - bts stesso sito
25112,"EFM,65eecb5f55c5eb000130303f",0,CORRELAZIONE OK CLUSTER 25112 - bts stesso sito
25112,"EFM,65eecb8d55c5eb0001303043",0,CORRELAZIONE OK CLUSTER 25112 - bts stesso sito
25112,"EFM,65eecb5f7dcf4f000138fab6",0,CORRELAZIONE OK CLUSTER 25112 - bts stesso sito
25112,"EFM,65eecb3122c47e0001586eef",0,CORRELAZIONE OK CLUSTER 25112 - bts stesso sito
25170,"EFM,65eecce17dcf4f000138fae8",0,CORRELAZIONE ERRATA SU CLUSTER 25170
25170,"EFMTX,65eece567a13f70001b9c50d",0,CORRELAZIONE ERRATA SU CLUSTER 25170
25170,"EFMTX,65eece567a13f70001b9c511",0,CORRELAZIONE ERRATA SU CLUSTER 25170
25170,"EFMTX,65eecc8d06e2d20001aeb8dc",0,CORRELAZIONE ERRATA SU CLUSTER 25170
25170,"EFM,65eecce27dcf4f000138fae9",0,CORRELAZIONE ERRATA SU CLUSTER 25170
25170,"EFM,65eecc1c7dcf4f000138fad9",0,CORRELAZIONE ERRATA SU CLUSTER 25170
25170,"EFMTX,65eecf707a13f70001b9c666",0,CORRELAZIONE ERRATA SU CLUSTER 25170
25389,"EFMTX,65eed22df70d760001d5cb08",0,CORRELAZIONE OK CLUSTER 25389
25389,"EFMTX,65eed2a55e16e30001ac446e",0,CORRELAZIONE OK CLUSTER 25389
25389,"EFMTX,65eed1325e16e30001ac4461",1,CORRELAZIONE OK CLUSTER 25389
25389,"EFMTX,65eed1335e16e30001ac4462",1,CORRELAZIONE OK CLUSTER 25389
25389,"EFMTX,65eed21e53da8b00018bf1c5",1,CORRELAZIONE OK CLUSTER 25389
25393,"EFMTX,65eed22d2df6860001e3b999",0,CORRELAZIONE OK CLUSTER 25389
25393,"EFMTX,65eed22d2df6860001e3b998",0,CORRELAZIONE OK CLUSTER 25389
25393,"EFMTX,65eed2695e16e30001ac446d",0,CORRELAZIONE OK CLUSTER 25389
25393,"EFMTX,65eed2a506e2d20001aeb8eb",0,CORRELAZIONE OK CLUSTER 25389
25393,"EFMTX,65eed1477a13f70001b9c8b2",1,CORRELAZIONE OK CLUSTER 25389
25393,"EFMTX,65eed1477a13f70001b9c8b6",1,CORRELAZIONE OK CLUSTER 25389
25400,"EFMTX,65eed1e6ce901400013b69d9",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed1e3ce901400013b69d1",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed1e4ce901400013b69d3",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed21fce901400013b6a26",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed23ece901400013b6a58",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed23ece901400013b6a5a",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed23ece901400013b6a5c",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed23fce901400013b6a60",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed240ce901400013b6a62",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed23dce901400013b6a4e",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed23dce901400013b6a50",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed23dce901400013b6a53",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed242ce901400013b6a67",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed22df70d760001d5cb08",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed22d2df6860001e3b999",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed22d5e16e30001ac446a",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed22d2df6860001e3b998",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed2694b89930001d056f3",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed2692df6860001e3b99a",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed2694b89930001d056f2",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed2695e16e30001ac446c",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed269f70d760001d5cb0b",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed26906e2d20001aeb8ea",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed2695e16e30001ac446d",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed2a506e2d20001aeb8eb",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed2a55e16e30001ac446e",1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed6ca47128a0001aa5214",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed241ce901400013b6a65",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed7125e16e30001ac4481",-1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed447cd606500014b4698",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed5b206e2d20001aeb8fd",-1,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed7a753da8b00018bf940",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed7ec53da8b00018bf996",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed54ea379550001bb27c6",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed108cd606500014b438e",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed108cd606500014b4390",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed108cd606500014b4392",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed14706e2d20001aeb8e7",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed16b47128a0001aa4e23",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed16b5e16e30001ac4465",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed1e67a13f70001b9c9b5",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed1e87a13f70001b9c9bc",0,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed43fce901400013b6cba",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFM,65eed4c77dcf4f000138fb72",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFM,65eed4d77dcf4f000138fb76",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed54acd606500014b475f",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFM,65eed57e55c5eb00013030be",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed6df5e16e30001ac447d",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed6f77a13f70001b9d022",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed72853da8b00018bf869",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed78c7a13f70001b9d19f",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed7dc7a13f70001b9d1fe",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed814cd606500014b4999",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed81453da8b00018bf9dd",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed815b7f20500015aee73",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed8146423e50001f2a97f",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed814b7f20500015aee70",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed86147128a0001aa537f",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed8c64235370001fef96e",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed9744b89930001d0570e",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25400,"EFMTX,65eed98f53da8b00018bfc9e",2,CORRELAZIONE ERRATA SU CLUSTER 25400
25961,"EFMTX,65eedd98cd606500014b4f53",0,CORRELAZIONE ERRATA SU CLUSTER 23801
25961,"EFMTX,65eeddae06e2d20001aeb915",0,CORRELAZIONE ERRATA SU CLUSTER 23801
25961,"EFMTX,65eedbeb47128a0001aa564a",0,CORRELAZIONE ERRATA SU CLUSTER 23801
25961,"EFMTX,65eedd591cf17b0001680016",0,CORRELAZIONE ERRATA SU CLUSTER 23801
25961,"EFMTX,65eede7c53da8b00018c0387",0,CORRELAZIONE ERRATA SU CLUSTER 23801
